Date,New_Lows,Total_Issues,New_Lows_Ratio
2023-12-14,43,4917,0.8745169818995322
2023-12-15,69,4918,1.4030093533956893
2023-12-18,74,4918,1.5046766978446524
2023-12-19,64,4920,1.3008130081300813
2023-12-20,75,4920,1.524390243902439
2023-12-21,57,4920,1.1585365853658536
2023-12-22,49,4920,0.9959349593495935
2023-12-26,37,4920,0.7520325203252033
2023-12-27,40,4920,0.8130081300813009
2023-12-28,33,4921,0.6705954074375127
2023-12-29,40,4923,0.8125126955108675
2024-01-02,43,4923,0.8734511476741823
2024-01-03,54,4924,1.0966693744922826
2024-01-04,64,4924,1.2997562956945572
2024-01-05,71,4924,1.4419171405361495
2024-01-08,78,4924,1.5840779853777416
2024-01-09,77,4925,1.5634517766497464
2024-01-10,89,4925,1.8071065989847714
2024-01-11,102,4927,2.0702252892226505
2024-01-12,80,4927,1.6237061091942357
2024-01-16,179,4927,3.633042419322103
2024-01-17,222,4927,4.505784453014004
2024-01-18,173,4929,3.5098397240819637
2024-01-19,182,4929,3.6924325420977886
2024-01-22,130,4931,2.6363820726019065
2024-01-23,78,4931,1.5818292435611436
2024-01-24,71,4935,1.4387031408308004
2024-01-25,102,4938,2.0656136087484813
2024-01-26,64,4941,1.295284355393645
2024-01-29,78,4942,1.5783083771752329
2024-01-30,69,4942,1.396195872116552
2024-01-31,104,4943,2.1039854339469954
2024-02-01,119,4944,2.406957928802589
2024-02-02,146,4947,2.9512836062259953
2024-02-05,201,4947,4.063068526379624
2024-02-06,114,4948,2.3039611964430073
2024-02-07,106,4949,2.1418468377449993
2024-02-08,89,4949,1.7983430996160839
2024-02-09,66,4955,1.3319878910191727
2024-02-12,38,4955,0.7669021190716447
2024-02-13,113,4955,2.280524722502523
2024-02-14,72,4955,1.4530776992936427
2024-02-15,45,4955,0.9081735620585267
2024-02-16,56,4955,1.1301715438950555
2024-02-20,83,4955,1.6750756811301715
2024-02-21,94,4956,1.8966908797417272
2024-02-22,110,4956,2.2195318805488298
2024-02-23,133,4956,2.6836158192090394
2024-02-26,115,4956,2.3204196933010492
2024-02-27,64,4957,1.2911034900141216
2024-02-28,91,4957,1.835787774863829
2024-02-29,76,4957,1.5331853943917693
2024-03-01,76,4957,1.5331853943917693
2024-03-04,111,4957,2.239257615493242
2024-03-05,126,4958,2.5413473174667205
2024-03-06,106,4958,2.1379588543767647
2024-03-07,72,4958,1.4521984671238404
2024-03-08,63,4959,1.2704174228675136
2024-03-11,78,4959,1.572897761645493
2024-03-12,112,4959,2.2585198628755796
2024-03-13,102,4959,2.05686630369026
2024-03-14,183,4959,3.690260133091349
2024-03-15,150,4960,3.024193548387097
2024-03-18,129,4960,2.6008064516129035
2024-03-19,123,4960,2.4798387096774195
2024-03-20,94,4962,1.8943974203950018
2024-03-21,56,4964,1.1281224818694602
2024-03-22,87,4965,1.7522658610271902
2024-03-25,106,4965,2.1349446122860023
2024-03-26,121,4967,2.436078115562714
2024-03-27,69,4971,1.388050694025347
2024-03-28,39,4973,0.7842348682887592
2024-04-01,68,4974,1.3671089666264575
2024-04-02,128,4976,2.572347266881029
2024-04-03,132,4976,2.652733118971061
2024-04-04,84,4976,1.6881028938906755
2024-04-05,127,4979,2.5507129945772244
2024-04-08,79,4980,1.5863453815261046
2024-04-09,75,4980,1.5060240963855422
2024-04-10,157,4982,3.151344841429145
2024-04-11,114,4983,2.2877784467188444
2024-04-12,202,4984,4.052969502407704
2024-04-15,305,4984,6.119582664526485
2024-04-16,343,4984,6.882022471910113
2024-04-17,227,4986,4.552747693541917
2024-04-18,225,4986,4.512635379061372
2024-04-19,179,4991,3.5864556201162094
2024-04-22,180,4993,3.6050470658922493
2024-04-23,78,4994,1.5618742490989186
2024-04-24,115,4995,2.3023023023023024
2024-04-25,188,4998,3.7615046018407363
2024-04-26,82,4998,1.640656262505002
2024-04-29,63,4998,1.2605042016806722
2024-04-30,118,4998,2.3609443777511006
2024-05-01,115,5001,2.299540091981604
2024-05-02,92,5001,1.8396320735852831
2024-05-03,65,5001,1.299740051989602
2024-05-06,53,5001,1.0597880423915218
2024-05-07,63,5001,1.259748050389922
2024-05-08,94,5002,1.879248300679728
2024-05-09,77,5004,1.5387689848121504
2024-05-10,91,5005,1.8181818181818181
2024-05-13,81,5006,1.6180583300039952
2024-05-14,63,5007,1.2582384661473938
2024-05-15,53,5009,1.0580954282291875
2024-05-16,47,5009,0.93831104012777
2024-05-17,68,5010,1.3572854291417165
2024-05-20,98,5011,1.9556974655757335
2024-05-21,107,5011,2.1353023348633005
2024-05-22,119,5012,2.3743016759776534
2024-05-23,178,5013,3.5507680031917017
2024-05-24,129,5013,2.5733093955715143
2024-05-28,129,5014,2.572796170721978
2024-05-29,186,5015,3.7088733798604188
2024-05-30,122,5016,2.4322169059011167
2024-05-31,114,5018,2.2718214428058987
2024-06-03,127,5018,2.530888800318852
2024-06-04,155,5018,3.088880031885213
2024-06-05,139,5018,2.7700278995615784
2024-06-06,122,5021,2.4297948615813585
2024-06-07,175,5023,3.4839737208839336
2024-06-10,191,5023,3.8025084610790363
2024-06-11,154,5023,3.0658968743778616
2024-06-12,85,5025,1.691542288557214
2024-06-13,170,5026,3.3824114604058897
2024-06-14,246,5028,4.892601431980907
2024-06-17,237,5028,4.713603818615752
2024-06-18,228,5028,4.534606205250596
2024-06-20,255,5028,5.071599045346062
2024-06-21,204,5030,4.055666003976143
2024-06-24,132,5030,2.624254473161034
2024-06-25,196,5031,3.895845756310873
2024-06-26,200,5031,3.975352812562115
2024-06-27,147,5033,2.920723226703755
2024-06-28,144,5036,2.8594122319301034
2024-07-01,179,5036,3.5544082605242258
2024-07-02,216,5039,4.2865647946021035
2024-07-03,113,5039,2.242508434213138
2024-07-05,180,5040,3.571428571428571
2024-07-08,124,5040,2.4603174603174605
2024-07-09,199,5044,3.94528152260111
2024-07-10,151,5044,2.993655828707375
2024-07-11,50,5044,0.9912767644726407
2024-07-12,35,5045,0.6937561942517344
2024-07-15,41,5046,0.8125247720967103
2024-07-16,32,5046,0.6341656757827983
2024-07-17,30,5047,0.5944125222904696
2024-07-18,58,5050,1.1485148514851484
2024-07-19,90,5053,1.7811201266574312
2024-07-22,84,5053,1.6623787848802691
2024-07-23,85,5055,1.6815034619188922
2024-07-24,96,5058,1.8979833926453145
2024-07-25,90,5062,1.7779533781114183
2024-07-26,56,5063,1.106063598656923
2024-07-29,76,5063,1.5010863124629668
2024-07-30,106,5064,2.0932069510268563
2024-07-31,85,5064,1.6785150078988942
2024-08-01,178,5068,3.51223362273086
2024-08-02,318,5068,6.27466456195738
2024-08-05,576,5069,11.363188005523773
2024-08-06,169,5069,3.3339909252318014
2024-08-07,203,5070,4.003944773175543
2024-08-08,201,5070,3.964497041420118
2024-08-09,170,5070,3.353057199211045
2024-08-12,211,5071,4.160915006901992
2024-08-13,151,5073,2.976542479794993
2024-08-14,157,5073,3.094815690912675
2024-08-15,83,5077,1.6348237147922002
2024-08-16,87,5078,1.7132729421031903
2024-08-19,59,5078,1.1618747538400946
2024-08-20,75,5078,1.476959432847578
2024-08-21,67,5078,1.319417093343836
2024-08-22,68,5079,1.3388462295727506
2024-08-23,43,5081,0.8462901003739423
2024-08-26,42,5081,0.8266089352489667
2024-08-27,56,5082,1.1019283746556474
2024-08-28,99,5084,1.9472856018882772
2024-08-29,83,5084,1.6325727773406769
2024-08-30,79,5085,1.5535889872173059
2024-09-03,164,5087,3.2239040691959895
2024-09-04,181,5086,3.558788832088085
2024-09-05,169,5089,3.3208881902141876
2024-09-06,243,5089,4.775004912556494
2024-09-09,228,5089,4.480251522892513
2024-09-10,238,5091,4.674916519347868
2024-09-11,200,5092,3.927729772191673
2024-09-12,96,5094,1.884570082449941
2024-09-13,57,5097,1.1183048852266038
2024-09-16,80,5099,1.5689350853108452
2024-09-17,61,5098,1.196547665751275
2024-09-18,71,5099,1.3924298882133752
2024-09-19,77,5099,1.5101000196116887
2024-09-20,107,5100,2.0980392156862746
2024-09-23,118,5100,2.313725490196078
2024-09-24,104,5102,2.0384163073304586
2024-09-25,118,5103,2.312365275328238
2024-09-26,111,5108,2.173061863743148
2024-09-27,66,5107,1.2923438417857842
2024-09-30,79,5110,1.5459882583170255
2024-10-01,132,5111,2.5826648405400117
2024-10-02,130,5114,2.542041454829879
2024-10-03,114,5116,2.2283033620015638
2024-10-04,82,5118,1.6021883548261038
2024-10-07,120,5119,2.3442078530963077
2024-10-08,121,5120,2.36328125
2024-10-09,136,5123,2.6546945149326566
2024-10-10,157,5125,3.0634146341463415
2024-10-11,77,5129,1.5012673035679471
2024-10-14,63,5129,1.2283096120101384
2024-10-15,77,5130,1.5009746588693957
2024-10-16,50,5131,0.9744689144416294
2024-10-17,52,5131,1.0134476710192943
2024-10-18,43,5134,0.8375535644721466
2024-10-21,61,5135,1.1879259980525803
2024-10-22,78,5136,1.5186915887850467
2024-10-23,108,5141,2.1007586072748494
2024-10-24,101,5143,1.9638343379350574
2024-10-25,83,5145,1.6132167152575316
2024-10-28,66,5148,1.282051282051282
2024-10-29,85,5150,1.650485436893204
2024-10-30,103,5150,2.0
2024-10-31,182,5149,3.5346669256166243
2024-11-01,160,5150,3.1067961165048543
2024-11-04,125,5151,2.4267132595612506
2024-11-05,127,5150,2.466019417475728
2024-11-06,136,5151,2.6402640264026402
2024-11-07,79,5151,1.5336827800427102
2024-11-08,115,5153,2.23170968367941
2024-11-11,102,5154,1.979045401629802
2024-11-12,150,5155,2.909796314258002
2024-11-13,187,5156,3.6268425135764155
2024-11-14,210,5158,4.07134548274525
2024-11-15,287,5158,5.564172159751841
2024-11-18,253,5158,4.9050019387359445
2024-11-19,248,5158,4.808065141527724
2024-11-20,195,5158,3.7805350911205897
2024-11-21,160,5158,3.1019775106630476
2024-11-22,85,5160,1.6472868217054266
2024-11-25,66,5160,1.2790697674418605
2024-11-26,103,5163,1.9949641681193107
2024-11-27,87,5164,1.6847405112316034
2024-11-29,67,5165,1.297192642787996
2024-12-02,88,5167,1.7031159280046448
2024-12-03,84,5169,1.625072547881602
2024-12-04,108,5169,2.089378990133488
2024-12-05,130,5172,2.51353441608662
2024-12-06,142,5175,2.743961352657005
2024-12-09,62,5176,1.1978361669242659
2024-12-10,97,5176,1.8740340030911902
2024-12-11,141,5176,2.7241112828438947
2024-12-12,183,5177,3.5348657523662355
2024-12-13,247,5180,4.768339768339768
2024-12-16,263,5183,5.074281304263939
2024-12-17,282,5183,5.4408643642677985
2024-12-18,363,5185,7.000964320154292
2024-12-19,374,5188,7.208943716268311
2024-12-20,313,5191,6.029666730880369
2024-12-23,189,5192,3.640215716486903
2024-12-24,109,5192,2.0993836671802777
2024-12-26,70,5192,1.3482280431432974
2024-12-27,93,5193,1.7908723281340264
2024-12-30,187,5194,3.600308047747401
2024-12-31,73,5194,1.405467847516365
2025-01-02,58,5197,1.1160284779680585
2025-01-03,68,5199,1.3079438353529527
2025-01-06,50,5199,0.9617234083477592
2025-01-07,94,5201,1.8073447413958852
2025-01-08,185,5201,3.5570082676408386
2025-01-10,321,5203,6.169517586008072
2025-01-13,323,5203,6.207956947914664
2025-01-14,146,5205,2.8049951969260327
2025-01-15,91,5206,1.7479830964271994
2025-01-16,106,5210,2.034548944337812
2025-01-17,69,5209,1.3246304473027453
2025-01-21,80,5211,1.535213970447131
2025-01-22,99,5214,1.89873417721519
